Tema,Año,Mes,EntidadFederativa,UnidadesVehicularesElectricas,UnidadesVehicularesHibridasPlugin1,UnidadesVehicularesHibridas2,Total
Venta_de_vehiculos_hibridos_y_electricos,2019,Octubre,Ciudad_de_Mexico,15,66,933,1014
Venta_de_vehiculos_hibridos_y_electricos,2019,Junio,Ciudad_de_Mexico,5,18,804,827
Venta_de_vehiculos_hibridos_y_electricos,2019,Septiembre,Ciudad_de_Mexico,15,47,764,826
Venta_de_vehiculos_hibridos_y_electricos,2019,Julio,Ciudad_de_Mexico,7,26,716,749
Venta_de_vehiculos_hibridos_y_electricos,2018,Diciembre,Ciudad_de_Mexico,7,76,629,712
Venta_de_vehiculos_hibridos_y_electricos,2019,Marzo,Ciudad_de_Mexico,7,74,619,700
Venta_de_vehiculos_hibridos_y_electricos,2019,Agosto,Ciudad_de_Mexico,12,35,624,671
Venta_de_vehiculos_hibridos_y_electricos,2019,Enero,Ciudad_de_Mexico,13,89,535,637
Venta_de_vehiculos_hibridos_y_electricos,2018,Septiembre,Ciudad_de_Mexico,5,53,526,584
Venta_de_vehiculos_hibridos_y_electricos,2018,Noviembre,Ciudad_de_Mexico,8,64,511,583
Venta_de_vehiculos_hibridos_y_electricos,2018,Mayo,Ciudad_de_Mexico,3,108,455,566
Venta_de_vehiculos_hibridos_y_electricos,2018,Junio,Ciudad_de_Mexico,5,75,481,561
Venta_de_vehiculos_hibridos_y_electricos,2018,Octubre,Ciudad_de_Mexico,7,66,488,561
Venta_de_vehiculos_hibridos_y_electricos,2017,Diciembre,Ciudad_de_Mexico,3,58,495,556
Venta_de_vehiculos_hibridos_y_electricos,2017,Octubre,Ciudad_de_Mexico,15,46,469,530
Venta_de_vehiculos_hibridos_y_electricos,2016,Diciembre,Ciudad_de_Mexico,13,55,454,522
Venta_de_vehiculos_hibridos_y_electricos,2016,Septiembre,Ciudad_de_Mexico,4,49,463,516
Venta_de_vehiculos_hibridos_y_electricos,2018,Abril,Ciudad_de_Mexico,3,94,416,513
Venta_de_vehiculos_hibridos_y_electricos,2019,Octubre,Mexico,1,14,485,500
Venta_de_vehiculos_hibridos_y_electricos,2017,Marzo,Ciudad_de_Mexico,10,67,419,496
Venta_de_vehiculos_hibridos_y_electricos,2019,Febrero,Ciudad_de_Mexico,17,74,382,473
Venta_de_vehiculos_hibridos_y_electricos,2018,Julio,Ciudad_de_Mexico,6,56,407,469
Venta_de_vehiculos_hibridos_y_electricos,2018,Marzo,Ciudad_de_Mexico,4,114,350,468
Venta_de_vehiculos_hibridos_y_electricos,2018,Febrero,Ciudad_de_Mexico,4,66,391,461
Venta_de_vehiculos_hibridos_y_electricos,2019,Julio,Mexico,1,17,443,461
Venta_de_vehiculos_hibridos_y_electricos,2016,Junio,Ciudad_de_Mexico,16,20,407,443
